epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9428,1.07296,4.26675,1.24682,0.00101,0.33333,0.00165,0.00046,0.83111,4.60543,1.11052,3.334e-05,3.334e-05,3.334e-05
2,68.1901,0.87219,3.75336,1.12355,0.00172,0.5,0.04204,0.02427,0.65589,4.28575,0.91658,8.05995e-05,8.05995e-05,8.05995e-05
3,108.423,0.76851,3.48331,1.03763,0.00334,1,0.29493,0.26231,0.65689,4.04986,0.85435,0.000124558,0.000124558,0.000124558
4,170.419,0.74146,3.11145,0.96627,0.00223,0.66667,0.37899,0.34601,0.67686,3.98982,0.84805,0.000165216,0.000165216,0.000165216
5,224.795,0.6723,2.57077,0.91159,0.00282,0.83333,0.49301,0.37835,0.7285,3.78062,0.851,0.000202574,0.000202574,0.000202574
6,258.793,0.70548,2.1078,0.93211,0.00337,1,0.69288,0.49498,0.8386,3.65866,0.8661,0.000236631,0.000236631,0.000236631
7,286.52,0.6497,1.87298,0.92707,0.0034,1,0.68025,0.51635,0.78212,3.631,0.86399,0.000267387,0.000267387,0.000267387
8,313.357,0.5944,1.9691,0.90831,0.00341,1,0.709,0.58538,0.6926,3.63698,0.84819,0.000294842,0.000294842,0.000294842
9,338.852,0.66826,1.86706,0.94064,0.00345,1,0.764,0.61839,0.65872,3.61917,0.81994,0.000318997,0.000318997,0.000318997
10,370.94,0.64958,1.60825,0.92088,0.78067,0.44022,0.73571,0.61508,0.64644,3.63471,0.81829,0.000339851,0.000339851,0.000339851
11,412.589,0.61041,1.43832,0.8797,1,0.4847,0.80938,0.70814,0.69149,3.62367,0.81786,0.000357405,0.000357405,0.000357405
12,450.425,0.64623,1.50085,0.91426,1,0.49932,0.80938,0.71431,0.6785,3.60031,0.81761,0.000371658,0.000371658,0.000371658
13,489.785,0.60746,1.35402,0.88405,1,0.5522,0.7925,0.67956,0.6975,3.48744,0.8162,0.00038261,0.00038261,0.00038261
14,530.349,0.65294,1.56098,0.94233,1,0.55833,0.819,0.69536,0.76173,3.4576,0.82864,0.000390261,0.000390261,0.000390261
15,618.688,0.69153,1.47182,0.9694,0.93135,0.66667,0.83471,0.67468,0.80254,3.25591,0.83933,0.000394612,0.000394612,0.000394612
16,740.773,0.64807,1.33188,0.9054,0.94319,0.65915,0.8465,0.6884,0.79243,3.10828,0.83558,0.000395662,0.000395662,0.000395662
17,794.119,0.61344,1.2555,0.93059,0.91783,0.66667,0.88775,0.70624,0.77774,3.02634,0.83206,0.000393412,0.000393412,0.000393412
18,836.824,0.66556,1.35893,0.93141,0.91132,0.66667,0.9125,0.74723,0.72132,3.04084,0.82394,0.000387861,0.000387861,0.000387861
19,875.369,0.62106,1.24394,0.94014,1,0.7433,0.90071,0.7484,0.71448,3.05846,0.82629,0.000379009,0.000379009,0.000379009
20,926.035,0.66948,1.3949,0.9573,1,0.73761,0.9125,0.74724,0.71908,3.07336,0.83833,0.000366857,0.000366857,0.000366857
21,990.506,0.55307,1.5761,0.86245,0.93809,0.62356,0.88775,0.70153,0.71675,3.07232,0.83518,0.000351404,0.000351404,0.000351404
22,1036.5,0.51328,1.5206,0.8551,0.94994,0.63541,0.88775,0.71397,0.66813,3.07934,0.82586,0.00033265,0.00033265,0.00033265
23,1088.19,0.5207,1.52578,0.83926,0.9547,0.62675,0.88775,0.75873,0.64965,3.01659,0.82092,0.000310595,0.000310595,0.000310595
24,1137.35,0.50682,1.56349,0.83984,0.88722,0.65502,0.95375,0.81318,0.65575,2.90901,0.82533,0.00028524,0.00028524,0.00028524
25,1178.94,0.48946,1.4761,0.83987,1,0.79733,0.995,0.83495,0.67998,2.76258,0.83556,0.000256585,0.000256585,0.000256585
26,1227.76,0.47759,1.38603,0.82021,1,0.88344,0.995,0.81866,0.69333,2.65755,0.84463,0.000224628,0.000224628,0.000224628
27,1269.63,0.46476,1.36637,0.81684,1,0.91241,0.995,0.81866,0.69475,2.58303,0.85335,0.000189371,0.000189371,0.000189371
28,1312.93,0.43377,1.36037,0.86686,1,0.92628,0.995,0.85172,0.7058,2.51748,0.85738,0.000150813,0.000150813,0.000150813
29,1349.7,0.45528,1.35193,0.83659,1,0.92628,0.995,0.85172,0.7058,2.51748,0.85738,0.000108955,0.000108955,0.000108955
