epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6103,1.94074,4.00232,1.80106,0.00518,0.5,0.09045,0.07773,1.96658,5.81172,1.83612,3.334e-05,3.334e-05,3.334e-05
2,84.418,1.81732,3.29902,1.67067,0.52039,0.16667,0.02044,0.00481,2.29982,6.2443,1.97029,7.64736e-05,7.64736e-05,7.64736e-05
3,116.876,1.33226,3.47939,1.39911,0.59228,0.16667,0.05859,0.01506,2.17647,5.72074,1.92824,0.000111356,0.000111356,0.000111356
4,148.742,1.0822,2.83805,1.2928,0.73445,0.16667,0.20481,0.13608,1.76876,4.75863,1.51085,0.000137986,0.000137986,0.000137986
5,179.386,0.98743,2.41229,1.17512,0.74021,0.31374,0.33928,0.23543,1.45635,4.23814,1.14579,0.000156365,0.000156365,0.000156365
6,229.896,0.93027,2.3348,1.12871,0.71706,0.33333,0.34776,0.24424,1.29335,4.11518,1.09652,0.000166492,0.000166492,0.000166492
7,275.363,0.80666,2.08192,1.0842,0.82505,0.31678,0.47201,0.3552,1.27968,4.00218,1.06161,0.000168367,0.000168367,0.000168367
8,312.754,0.795,1.97294,1.04059,0.82539,0.31745,0.48174,0.35802,1.22629,3.94409,1.05034,0.000161991,0.000161991,0.000161991
9,373.23,0.79401,1.93,1.06094,0.82512,0.31691,0.44655,0.34063,1.10889,3.81239,1.03692,0.000147363,0.000147363,0.000147363
10,441,0.72119,1.87113,1.01609,0.82524,0.31715,0.46702,0.34722,1.06629,3.71339,1.03051,0.000124483,0.000124483,0.000124483
11,485.941,0.71764,1.83217,1.00586,0.45213,0.66667,0.58525,0.45935,0.97747,3.47299,1.01552,9.3352e-05,9.3352e-05,9.3352e-05
12,571.364,0.7217,1.92203,1.02326,0.46313,0.66667,0.621,0.49228,0.95232,3.41321,1.00868,5.39691e-05,5.39691e-05,5.39691e-05
